date,open,max,min,close,Negative,Neutral,Positive
2020/7/3 9:38,3116.33,3119.54,3115.7,3119.54,5,5,4
2020/7/3 9:39,3118.99,3120.77,3118.41,3120.77,5,3,8
2020/7/3 9:40,3120.8,3123.93,3120.8,3123.93,3,12,8
2020/7/3 9:41,3124.62,3126.51,3124.62,3125.45,7,10,10
2020/7/3 9:42,3125.34,3125.34,3120.36,3120.36,13,5,4
2020/7/3 9:43,3119.86,3119.86,3115.13,3115.13,9,5,6
2020/7/3 9:44,3115,3117.58,3115,3117.58,6,3,5
2020/7/3 9:45,3117.3,3117.74,3115.74,3116.13,8,4,9
2020/7/3 9:46,3115.94,3117.93,3115.19,3117.65,8,9,6
2020/7/3 9:47,3117.97,3121.92,3117.97,3121.53,4,4,9
2020/7/3 9:48,3121.46,3123.66,3121.45,3123.66,4,5,4
2020/7/3 9:49,3123.57,3123.57,3122.13,3122.59,5,3,5
2020/7/3 9:50,3122.75,3123.47,3122.32,3123.41,6,3,5
2020/7/3 9:51,3124.1,3125.63,3124.01,3125.63,5,9,7
2020/7/3 9:52,3124.68,3127.62,3124.68,3127.62,4,4,7
2020/7/3 9:53,3127.76,3128.87,3127.76,3128.61,6,4,9
2020/7/3 9:54,3128.74,3130.4,3128.66,3130.4,4,2,6
2020/7/3 9:55,3130.64,3130.64,3129.41,3129.65,5,4,2
2020/7/3 9:56,3129.71,3131,3129.28,3131,3,9,8
2020/7/3 9:57,3130.71,3131.98,3130.71,3131.46,7,4,5
2020/7/3 9:58,3131.68,3132.95,3131.06,3132.95,6,14,5
2020/7/3 9:59,3133.09,3135.36,3133.09,3135.36,4,6,11
2020/7/3 10:00,3135.06,3135.06,3132.36,3132.36,3,7,11
2020/7/3 10:01,3132.23,3132.23,3129.73,3130.3,10,5,6
2020/7/3 10:02,3130.09,3130.15,3128.2,3128.79,7,4,7
2020/7/3 10:03,3128.85,3132.87,3128.85,3132.79,5,6,6
2020/7/3 10:04,3132.1,3132.52,3131.54,3132,12,2,8
2020/7/3 10:05,3132.64,3133.46,3132.44,3133.28,10,9,7
2020/7/3 10:06,3133.48,3134.26,3133.25,3133.25,8,8,7
2020/7/3 10:07,3133.63,3135.7,3133.31,3135.7,6,5,9
2020/7/3 10:08,3135.56,3136.72,3135.56,3136.72,5,5,6
2020/7/3 10:09,3136.81,3136.93,3136.19,3136.19,5,3,11
2020/7/3 10:10,3135.47,3136.34,3135.47,3136.08,7,5,7
2020/7/3 10:11,3135.97,3137.14,3135.97,3136.84,7,7,6
2020/7/3 10:12,3136.64,3136.64,3132.64,3132.64,3,6,5
2020/7/3 10:13,3132.87,3133.87,3132.66,3133.16,9,9,8
2020/7/3 10:14,3133.43,3133.65,3132.33,3132.35,8,6,5
2020/7/3 10:15,3132.2,3132.41,3130.78,3130.85,9,9,3
2020/7/3 10:16,3130.81,3131.79,3130.34,3131.79,11,10,5
2020/7/3 10:17,3132.33,3133.32,3132.25,3133.32,7,5,5
2020/7/3 10:18,3133.36,3134.64,3133.17,3133.89,5,5,11
2020/7/3 10:19,3133.74,3134.65,3133.53,3134.65,7,3,13
2020/7/3 10:20,3134.79,3135.66,3133.83,3135.45,8,6,5
2020/7/3 10:21,3135.71,3135.88,3134.57,3134.66,4,2,2
2020/7/3 10:22,3135.03,3135.13,3134.53,3135.06,8,5,8
2020/7/3 10:23,3134.6,3135.98,3134.53,3135.65,7,4,3
2020/7/3 10:24,3135.49,3136.15,3135.27,3135.72,7,4,7
2020/7/3 10:25,3136.32,3136.36,3135.02,3135.02,7,7,5
2020/7/3 10:26,3134.76,3134.76,3131.75,3131.75,11,6,5
2020/7/3 10:27,3131.33,3131.5,3127.43,3127.43,23,4,8
2020/7/3 10:28,3127.42,3127.83,3126.55,3126.92,15,6,10
2020/7/3 10:29,3126.28,3126.3,3124.2,3124.71,13,5,2
2020/7/3 10:30,3124.26,3124.58,3122.96,3123.29,14,7,8
2020/7/3 10:31,3122.64,3123.13,3121.8,3123.13,10,6,4
2020/7/3 10:32,3122.77,3123.14,3122.31,3122.46,8,9,5
2020/7/3 10:33,3123.18,3126.75,3123.18,3126.75,3,2,3
2020/7/3 10:34,3126.42,3127.22,3126.42,3126.68,5,1,1
2020/7/3 10:35,3126.67,3127.18,3126.09,3126.37,8,7,2
2020/7/3 10:36,3126.22,3126.8,3126.17,3126.67,4,2,4
2020/7/3 10:37,3126.74,3130.69,3126.74,3130.69,5,8,4
2020/7/3 10:38,3130.45,3131.14,3130.05,3130.38,4,4,1
2020/7/3 10:39,3130.29,3130.69,3129.11,3129.11,6,7,3
2020/7/3 10:40,3129.17,3129.88,3129.08,3129.64,5,8,1
2020/7/3 10:41,3130.06,3130.86,3130.06,3130.84,3,3,4
2020/7/3 10:42,3130.73,3131.26,3129.91,3129.91,3,3,3
2020/7/3 10:43,3130.03,3130.26,3127.75,3128.09,2,1,3
2020/7/3 10:44,3127.88,3128.33,3127.78,3127.89,4,3,2
